person_id,blink_rate,gaze,repeated_focus,label
1,3,CENTER,2,NORMAL
1,4,CENTER,1,NORMAL
1,5,CENTER,2,NORMAL
1,6,LEFT,5,ATTENTION
1,7,LEFT,6,ATTENTION
1,8,RIGHT,5,ATTENTION
1,9,LEFT,6,ATTENTION
1,10,RIGHT,6,ATTENTION
1,11,CENTER,3,DISCOMFORT
1,12,RIGHT,4,DISCOMFORT
1,13,LEFT,3,DISCOMFORT
1,14,CENTER,4,DISCOMFORT
1,15,RIGHT,5,DISCOMFORT
1,16,LEFT,4,DISCOMFORT

2,2,CENTER,1,NORMAL
2,3,CENTER,2,NORMAL
2,4,CENTER,2,NORMAL
2,5,CENTER,3,NORMAL
2,6,LEFT,5,ATTENTION
2,7,RIGHT,6,ATTENTION
2,8,LEFT,5,ATTENTION
2,9,RIGHT,6,ATTENTION
2,10,LEFT,6,ATTENTION
2,11,RIGHT,4,DISCOMFORT
2,12,CENTER,3,DISCOMFORT
2,13,RIGHT,5,DISCOMFORT
2,14,LEFT,4,DISCOMFORT
2,15,RIGHT,5,DISCOMFORT
2,16,CENTER,4,DISCOMFORT

3,3,CENTER,2,NORMAL
3,4,CENTER,2,NORMAL
3,5,CENTER,3,NORMAL
3,6,LEFT,5,ATTENTION
3,7,RIGHT,6,ATTENTION
3,8,LEFT,5,ATTENTION
3,9,RIGHT,6,ATTENTION
3,10,LEFT,6,ATTENTION
3,11,LEFT,3,DISCOMFORT
3,12,CENTER,4,DISCOMFORT
3,13,RIGHT,5,DISCOMFORT
3,14,LEFT,4,DISCOMFORT
3,15,RIGHT,5,DISCOMFORT
3,16,CENTER,4,DISCOMFORT


1,4,CENTER,2,NORMAL
1,5,CENTER,3,NORMAL
1,6,LEFT,5,ATTENTION
1,7,RIGHT,6,ATTENTION
1,8,LEFT,5,ATTENTION
1,9,RIGHT,6,ATTENTION
1,10,LEFT,6,ATTENTION
1,11,CENTER,3,DISCOMFORT
1,12,RIGHT,4,DISCOMFORT
1,13,LEFT,3,DISCOMFORT
1,14,CENTER,4,DISCOMFORT
1,15,RIGHT,5,DISCOMFORT

2,3,CENTER,2,NORMAL
2,4,CENTER,3,NORMAL
2,5,CENTER,2,NORMAL
2,6,LEFT,5,ATTENTION
2,7,RIGHT,6,ATTENTION
2,8,LEFT,5,ATTENTION
2,9,RIGHT,6,ATTENTION
2,10,LEFT,6,ATTENTION
2,11,RIGHT,4,DISCOMFORT
2,12,CENTER,3,DISCOMFORT
2,13,RIGHT,5,DISCOMFORT
2,14,LEFT,4,DISCOMFORT

3,4,CENTER,2,NORMAL
3,5,CENTER,3,NORMAL
3,6,LEFT,5,ATTENTION
3,7,RIGHT,6,ATTENTION
3,8,LEFT,5,ATTENTION
3,9,RIGHT,6,ATTENTION
3,10,LEFT,6,ATTENTION
3,11,LEFT,3,DISCOMFORT
3,12,CENTER,4,DISCOMFORT
3,13,RIGHT,5,DISCOMFORT
3,14,LEFT,4,DISCOMFORT
